key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-243088644,Smart IoT-driven biosensors for EEG-based driving fatigue detection: A CNN-XGBoost model enhancing healthcare quality,2024,11,2,BioImpacts,"2228-5652, 2228-5660",,,1,"Rezaee, Khosro and Nazerian, Asmar and Ghayoumi Zadeh, Hossein and Attar, Hani and Khosravi, Mohamadreza and Kanan, Mohammad",https://bi.tbzmed.ac.ir/Inpress/bi-30586,en,,,"Introduction: Drowsy driving is a significant contributor to accidents, accounting for 35 to 45% of all crashes. Implementation of an internet of things (IoT) system capable of alerting fatigued drivers has the potential to substantially reduce road fatalities and associated issues. Often referred to as the internet of medical things (IoMT), this system leverages a combination of biosensors, actuators, detectors, cloud-based and edge computing, machine intelligence, and communication networks to deliver reliable performance and enhance quality of life in smart societies.     Methods: Electroencephalogram (EEG) signals offer potential insights into fatigue detection. However, accurately identifying fatigue from brain signals is challenging due to inter-individual EEG variability and the difficulty of collecting sufficient data during periods of exhaustion. To address these challenges, a novel evolutionary optimization method combining convolutional neural networks (CNNs) and XGBoost, termed CNN-XGBoost Evolutionary Learning, was proposed to improve fatigue identification accuracy. The research explored various subbands of decomposed EEG data and introduced an innovative approach of transforming EEG recordings into RGB scalograms. These scalogram images were processed using a 2D Convolutional Neural Network (2DCNN) to extract essential features, which were subsequently fed into a dense layer for training.     Results: The resulting model achieved a noteworthy accuracy of 99.80% on a substantial driver fatigue dataset, surpassing existing methods.     Conclusion: By integrating this approach into an IoT framework, researchers effectively addressed previous challenges and established an artificial intelligence of things (AIoT) infrastructure for critical driving conditions. This IoT-based system optimizes data processing, reduces computational complexity, and enhances overall system performance, enabling accurate and timely detection of fatigue in extreme driving environments.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation""]}",10.34172/bi.30586,,,
rayyan-243088645,Research on Fatigue Driving Detection Technology Based on CA-ACGAN,2024,4,27,Brain Sciences,2076-3425,14,5,436,"Ye, Han and Chen, Ming and Feng, Guofu",https://www.mdpi.com/2076-3425/14/5/436,en,,,"Driver fatigue represents a significant peril to global traffic safety, necessitating the advancement of potent fatigue monitoring methodologies to bolster road safety. This research introduces a conditional generative adversarial network with a classification head that integrates convolutional and attention mechanisms (CA-ACGAN) designed for the precise identification of fatigue driving states through the analysis of electroencephalography (EEG) signals. First, this study constructed a 4D feature data model capable of mirroring drivers’ fatigue state, meticulously analyzing the EEG signals’ frequency, spatial, and temporal dimensions. Following this, we present the CA-ACGAN framework, a novel integration of attention schemes, the bottleneck residual block, and the Transformer element. This integration was designed to refine the processing of EEG signals significantly. In utilizing a conditional generative adversarial network equipped with a classification header, the framework aims to distinguish fatigue states effectively. Moreover, it addresses the scarcity of authentic data through the generation of superior-quality synthetic data. Empirical outcomes illustrate that the CA-ACGAN model surpasses various extant methods in the fatigue detection endeavor on the SEED-VIG public dataset. Moreover, juxtaposed with leading-edge GAN models, our model exhibits an efficacy in in producing high-quality data that is clearly superior. This investigation confirms the CA-ACGAN model’s utility in fatigue driving identification and suggests fresh perspectives for deep learning applications in time series data generation and processing.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation""]}",10.3390/brainsci14050436,,,
rayyan-243088646,A LightGBM-Based EEG Analysis Method for Driver Mental States Classification,2019,9,9,Computational Intelligence and Neuroscience,"1687-5265, 1687-5273",2019,,11-Jan,"Zeng, Hong and Yang, Chen and Zhang, Hua and Wu, Zhenhua and Zhang, Jiaming and Dai, Guojun and Babiloni, Fabio and Kong, Wanzeng",https://www.hindawi.com/journals/cin/2019/3761203/,en,,,"Fatigue driving can easily lead to road traffic accidents and bring great harm to individuals and families. Recently, electroencephalography- (EEG-) based physiological and brain activities for fatigue detection have been increasingly investigated. However, how to find an effective method or model to timely and efficiently detect the mental states of drivers still remains a challenge. In this paper, we combine common spatial pattern (CSP) and propose a light-weighted classifier, LightFD, which is based on gradient boosting framework for EEG mental states identification. The comparable results with traditional classifiers, such as support vector machine (SVM), convolutional neural network (CNN), gated recurrent unit (GRU), and large margin nearest neighbor (LMNN), show that the proposed model could achieve better classification performance, as well as the decision efficiency. Furthermore, we also test and validate that LightFD has better transfer learning performance in EEG classification of driver mental states. In summary, our proposed LightFD classifier has better performance in real-time EEG mental state prediction, and it is expected to have broad application prospects in practical brain-computer interaction (BCI).","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation""]}",10.1155/2019/3761203,,,
rayyan-243088647,Classifying Driving Fatigue by Using EEG Signals,2022,3,24,Computational Intelligence and Neuroscience,"1687-5273, 1687-5265",2022,,13-Jan,"Zeng, Changqing and Mu, Zhendong and Wang, Qingjun and Kumar, Akshi",https://www.hindawi.com/journals/cin/2022/1885677/,en,,,"Fatigue driving is one of the main reasons for the occurrence of traffic accidents. Brain-computer interface, as a human-computer interaction method based on EEG signals, can communicate with the outside world and move freely through brain signals without relying on the peripheral neuromuscular system. In this paper, a simulation driving platform composed of driving simulation equipment and driving simulation software is used to simulate the real driving process. The EEG signals of the subjects are collected through simulated driving, and the EEG of five subjects is selected as the training sample, and the remaining one is the subject. As a test sample, perform feature extraction and classification experiments, select any set of normal signals and fatigue signals recorded in the driving fatigue experiment for data analysis, and then study the classification of driver fatigue levels. Experiments have proved that the PSO-H-ELM algorithm has only about 4% advantage compared with the average accuracy of the KNN algorithm and the SVM algorithm. The gap is not as big as expected, but as a new algorithm, it is applied to the detection of fatigue EEG. The two traditional algorithms are indeed more suitable. It shows that the driver fatigue level can be judged by detecting EEG, which will provide a basis for the development of on-board, real-time driving fatigue alarm devices. It will lay the foundation for traffic management departments to intervene in driving fatigue reasonably and provide a reliable basis for minimizing traffic accidents.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation""]}",10.1155/2022/1885677,,,
rayyan-243088648,CSF-GTNet: A Novel Multi-Dimensional Feature Fusion Network Based on Convnext-GeLU- BiLSTM for EEG-Signals-Enabled Fatigue Driving Detection,2024,5,,IEEE Journal of Biomedical and Health Informatics,"2168-2194, 2168-2208",28,5,2558-2568,"Gao, Dongrui and Li, Pengrui and Wang, Manqing and Liang, Yujie and Liu, Shihong and Zhou, Jiliu and Wang, Lutao and Zhang, Yongqing",https://ieeexplore.ieee.org/document/10032797/,en,,,,"RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No abstract"", ""Insufficient Info""]}",10.1109/JBHI.2023.3240891,,,
rayyan-243088649,Deriving heart rate variability indices from cardiac monitoring—An indicator of driver sleepiness,2019,3,18,Traffic Injury Prevention,"1538-9588, 1538-957X",20,3,249-254,"Buendia, Ruben and Forcolin, Fabio and Karlsson, Johan and Arne Sjöqvist, Bengt and Anund, Anna and Candefjord, Stefan",https://www.tandfonline.com/doi/full/10.1080/15389588.2018.1548766,en,,,"Objective: Driver fatigue is considered to be a major contributor to road traffic crashes. Cardiac monitoring and heart rate variability (HRV) analysis is a candidate method for early and accurate detection of driver sleepiness. This study has 2 objectives: to evaluate the (1) suitability of different preprocessing strategies for detecting and removing outlier heartbeats and spectral transformation of HRV signals and their impact of driver sleepiness assessment and (2) relation between common HRV indices and subjective sleepiness reported by a large number of drivers in real driving situations, for the first time.     Methods: The study analyzed >3,500 5-min driving epochs from 76 drivers on a public motorway in Sweden. The electrocardiograph (ECG) data were recorded in 3 studies designed to evaluate the physiological differences between awake and sleepy drivers. The drivers reported their perceived level of sleepiness according to the Karolinska Sleepiness Scale (KSS) every 5 min. Two standard methods were used for identifying outlier heartbeats: (1) percentage change (PC), where outliers were defined as interbeat intervals deviating >30% from the mean of the four previous intervals and (2) standard deviation (SD), where outliers were defined as interbeat interval deviating >4 SD from the mean interval duration in the current epoch. Three standard methods were used for spectral transformation, which is needed for deriving HRV indices in the frequency domain: (1) Fourier transform; (2) autoregressive model; and (3) Lomb-Scargle periodogram. Different preprocessing strategies were compared regarding their impact on derivation of common HRV indices and their relation to KSS data distribution, using box plots and statistical tests such as analysis of variance (ANOVA) and Student’s t test.     Results: The ability of HRV indices to discriminate between alert and sleepy drivers does not differ significantly depending on which outlier detection and spectral transformation methods are used. As expected, with increasing sleepiness, the heart rate decreased, whereas heart rate variability overall increased. Furthermore, HRV parameters representing the parasympathetic branch of the autonomous nervous system increased. An unexpected finding was that parameters representing the sympathetic branch of the autonomous nervous system also increased with increasing KSS level. We hypothesize that this increment was due to stress induced by trying to avoid an incident, because the drivers were in real driving situations.     Conclusions: The association of HRV indices to KSS did not depend on the preprocessing strategy. No preprocessing method showed superiority for HRV association to driver sleepiness. This was also true for combinations of methods for frequency domain HRV indices. The results prove clear relationships between HRV indices and perceived sleepiness. Thus, HRV analysis shows promise for driver sleepiness detection.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""Statistical Model"", ""Physiological"", ""HRV""]}",10.1080/15389588.2018.1548766,,,
rayyan-243088650,Driver sleepiness detection from EEG and EOG signals using GAN and LSTM networks,2020,9,,Neurocomputing,9252312,408,,100-111,"Jiao, Yingying and Deng, Yini and Luo, Yun and Lu, Bao-Liang",https://linkinghub.elsevier.com/retrieve/pii/S0925231220303325,en,,,"In recent years, sleepiness during driving has become a main cause for traﬃc accidents. However, the fact is that we know very little yet about the electrophysiological marker for assessing diver sleepiness. Previous studies and our researches have shown that alpha blocking phenomenon and alpha wave attenuation-disappearance phenomenon represent two different sleepiness levels, the relaxed wakefulness and the sleep onset, respectively. This paper proposes a novel model for driver sleepiness detection based on electroencephalography (EEG) and electrooculography (EOG) signals. Our model aims to track the change in alpha waves and differentiate the two alpha-related phenomena. Continuous wavelet transform is adopted to extract features from physiological signals in both time and frequency domains. Meanwhile, Long-Short Term Memory (LSTM) network is introduced to deal with temporal information of EEG and EOG signals. To deal with insuﬃcient physiological sample problem, generative adversarial network (GAN) is used to augment the training dataset. Experimental results indicate that the F1 score for detecting start and end points of alpha waves reaches to around 95%. And Conditional Wasserstein GAN (CWGAN) we adopted was effective in augmenting dataset and boost classiﬁer performance. Meanwhile, our LSTM classiﬁer achieved a mean accuracy of 98% for classifying end points of alpha waves under leave-one-subject-out cross validation.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""F1-score reported"", ""High Accuracy"", ""LSTM"", ""Deep Learning"", ""EEG + EOG"", ""Physiological""]}",10.1016/j.neucom.2019.05.108,,,
rayyan-243088651,Dynamic driver fatigue detection using hidden Markov model in real driving condition,2016,11,1,Expert Systems with Applications,9574174,63,,397-411,"Fu, Rongrong and Wang, Hong and Zhao, Wenbo",https://linkinghub.elsevier.com/retrieve/pii/S0957417416303293,en,,,"Driver’s states in successive time slices are not independent, especially, fatigue is one of a cognitive state that is developing over time. Meanwhile, driver fatigue is also inﬂuenced by some corresponding contextual information at a certain time. In such case, classifying driving state at each time slice separately from it in before and after time slices obviously has less meaning. Therefore, a dynamic fatigue detection model based on Hidden Markov Model (HMM) is proposed in this paper. Driver fatigue can be estimated by this model in a probabilistic way using various physiological and contextual information. Electroencephalogram (EEG), Electromyogram (EMG), and respiration signals were simultaneously recorded by wearable sensors and sent to computer by Bluetooth during the real driving. From these physiological information, fatigue likelihood can be achieved using kernel distribution estimate at different time sections. Contextual information offered by speciﬁc environmental factors were used as prior of fatigue. As time proceeds, the posterior of fatigue can be gotten dynamically by this HMM-based fatigue recognition method. Based on the results of the method in this paper, it shows that it provides an effective way in detecting driver fatigue.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation""]}",10.1016/j.eswa.2016.06.042,,,
rayyan-243088652,Automated Detection of Driver Fatigue Based on AdaBoost Classifier with EEG Signals,2017,8,3,Frontiers in Computational Neuroscience,1662-5188,11,,72,"Hu, Jianfeng",http://journal.frontiersin.org/article/10.3389/fncom.2017.00072/full,en,,,"Purpose: Driving fatigue has become one of the important causes of road accidents, there are many researches to analyze driver fatigue. EEG is becoming increasingly useful in the measuring fatigue state. Manual interpretation of EEG signals is impossible, so an effective method for automatic detection of EEG signals is crucial needed.     Method: In order to evaluate the complex, unstable, and non-linear characteristics of EEG signals, four feature sets were computed from EEG signals, in which fuzzy entropy (FE), sample entropy (SE), approximate Entropy (AE), spectral entropy (PE), and combined entropies (FE + SE + AE + PE) were included. All these feature sets were used as the input vectors of AdaBoost classiﬁer, a boosting method which is fast and highly accurate. To assess our method, several experiments including parameter setting and classiﬁer comparison were conducted on 28 subjects. For comparison, Decision Trees (DT), Support Vector Machine (SVM) and Naive Bayes (NB) classiﬁers are used.     Results: The proposed method (combination of FE and AdaBoost) yields superior performance than other schemes. Using FE feature extractor, AdaBoost achieves improved area (AUC) under the receiver operating curve of 0.994, error rate (ERR) of 0.024, Precision of 0.969, Recall of 0.984, F1 score of 0.976, and Matthews correlation coefﬁcient (MCC) of 0.952, compared to SVM (ERR at 0.035, Precision of 0.957, Recall of 0.974, F1 score of 0.966, and MCC of 0.930 with AUC of 0.990), DT (ERR at 0.142, Precision of 0.857, Recall of 0.859, F1 score of 0.966, and MCC of 0.716 with AUC of 0.916) and NB (ERR at 0.405, Precision of 0.646, Recall of 0.434, F1 score of 0.519, and MCC of 0.203 with AUC of 0.606). It shows that the FE feature set and combined feature set outperform other feature sets. AdaBoost seems to have better robustness against changes of ratio of test samples for all samples and number of subjects, which might therefore aid in the real-time detection of driver fatigue through the classiﬁcation of EEG signals.     Conclusion: By using combination of FE features and AdaBoost classiﬁer to detect EEG-based driver fatigue, this paper ensured conﬁdence in exploring the inherent physiological mechanisms and wearable application.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""ML"", ""Adaboost"", ""High Accuracy"", ""Fuzzy Entropy (FE)"", ""Hybrid ML"", ""EEG"", ""Physiological""]}",10.3389/fncom.2017.00072,,,
rayyan-243088653,EEG brain signals to detect the sleep health of a driver: An automated framework system based on deep learning,2022,8,25,Frontiers in Human Neuroscience,1662-5161,16,,915276,"Ettahiri, Halima and Ferrández Vicente, José Manuel and Fechtali, Taoufiq",https://www.frontiersin.org/articles/10.3389/fnhum.2022.915276/full,en,,,"Mental fatigue is complex disorganization that affects the human being's efficiency in work and daily activities (e.g., driving, exercising). Encephalography is routinely used to discern this fatigue. Several automatic procedures have deployed conventional approaches to support neurologists in mental fatigue detection episodes (e.g., sleepy vs. normal). In all of the traditional procedures (e.g., support vector machine, discrimination fisher, K-nearest neighbor, and Bayesian classification), only a low accuracy is achieved when a binary classification task (e.g., tired vs. normal) is applied. The convolutional neural network model identifies the correct mathematical manipulation to turn the input into the output. In this study, a convolutional neural network is trained to recognize brain signals recorded by a wearable encephalographic cap. Unfortunately, the convolutional neural network works with large datasets. To overcome this problem, an augmentation scheme for a convolutional neural network model is essential because it can achieve higher accuracy than the traditional classifiers. The results show that our model achieved 97.3% compared to the state-of-the-art traditional methods (e.g., SVM and LDA).","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""Physiological"", ""CNN"", ""Deep Learning"", ""EEG"", ""ML"", ""SVM + LDA (for comparison with CNN)""]}",10.3389/fnhum.2022.915276,,,
rayyan-243088654,Improving EEG-Based Driver Fatigue Classification Using Sparse-Deep Belief Networks,2017,3,7,Frontiers in Neuroscience,1662-453X,11,,,"Chai, Rifai and Ling, Sai Ho and San, Phyo Phyo and Naik, Ganesh R. and Nguyen, Tuan N. and Tran, Yvonne and Craig, Ashley and Nguyen, Hung T.",http://journal.frontiersin.org/article/10.3389/fnins.2017.00103/full,en,,,"This paper presents an improvement of classiﬁcation performance for electroencephalography (EEG)-based driver fatigue classiﬁcation between fatigue and alert states with the data collected from 43 participants. The system employs autoregressive (AR) modeling as the features extraction algorithm, and sparse-deep belief networks (sparse-DBN) as the classiﬁcation algorithm. Compared to other classiﬁers, sparse-DBN is a semi supervised learning method which combines unsupervised learning for modeling features in the pre-training layer and supervised learning for classiﬁcation in the following layer. The sparsity in sparse-DBN is achieved with a regularization term that penalizes a deviation of the expected activation of hidden units from a ﬁxed low-level prevents the network from overﬁtting and is able to learn low-level structures as well as high-level structures. For comparison, the artiﬁcial neural networks (ANN), Bayesian neural networks (BNN), and original deep belief networks (DBN) classiﬁers are used. The classiﬁcation results show that using AR feature extractor and DBN classiﬁers, the classiﬁcation performance achieves an improved classiﬁcation performance with a of sensitivity of 90.8%, a speciﬁcity of 90.4%, an accuracy of 90.6%, and an area under the receiver operating curve (AUROC) of 0.94 compared to ANN (sensitivity at 80.8%, speciﬁcity at 77.8%, accuracy at 79.3% with AUC-ROC of 0.83) and BNN classiﬁers (sensitivity at 84.3%, speciﬁcity at 83%, accuracy at 83.6% with AUROC of 0.87). Using the sparse-DBN classiﬁer, the classiﬁcation performance improved further with sensitivity of 93.9%, a speciﬁcity of 92.3%, and an accuracy of 93.1% with AUROC of 0.96. Overall, the sparse-DBN classiﬁer improved accuracy by 13.8, 9.5, and 2.5% over ANN, BNN, and DBN classiﬁers, respectively.","RAYYAN-INCLUSION: {""AJAYI""=>""Included""} | USER-NOTES: {""AJAYI""=>[""Physiological"", ""Hybrid Deep Learning"", ""High accuracy""]}",10.3389/fnins.2017.00103,,,
rayyan-243088655,EEG driving fatigue detection based on log-Mel spectrogram and convolutional recurrent neural networks,2023,3,9,Frontiers in Neuroscience,1662-453X,17,,1136609,"Gao, Dongrui and Tang, Xue and Wan, Manqing and Huang, Guo and Zhang, Yongqing",https://www.frontiersin.org/articles/10.3389/fnins.2023.1136609/full,en,,,"Driver fatigue detection is one of the essential tools to reduce accidents and improve traffic safety. Its main challenge lies in the problem of how to identify the driver's fatigue state accurately. Existing detection methods include yawning and blinking based on facial expressions and physiological signals. Still, lighting and the environment affect the detection results based on facial expressions. In contrast, the electroencephalographic (EEG) signal is a physiological signal that directly responds to the human mental state, thus reducing the impact on the detection results. This paper proposes a log-Mel spectrogram and Convolution Recurrent Neural Network (CRNN) model based on EEG to implement driver fatigue detection. This structure allows the advantages of the different networks to be exploited to overcome the disadvantages of using them individually. The process is as follows: first, the original EEG signal is subjected to a one-dimensional convolution method to achieve a Short Time Fourier Transform (STFT) and passed through a Mel filter bank to obtain a logarithmic Mel spectrogram, and then the resulting logarithmic Mel spectrogram is fed into a fatigue detection model to complete the fatigue detection task for the EEG signals. The fatigue detection model consists of a 6-layer convolutional neural network (CNN), bi-directional recurrent neural networks (Bi-RNNs), and a classifier. In the modeling phase, spectrogram features are transported to the 6-layer CNN to automatically learn high-level features, thereby extracting temporal features in the bi-directional RNN to obtain spectrogram-temporal information. Finally, the alert or fatigue state is obtained by a classifier consisting of a fully connected layer, a ReLU activation function, and a softmax function. Experiments were conducted on publicly available datasets in this study. The results show that the method can accurately distinguish between alert and fatigue states with high stability. In addition, the performance of four existing methods was compared with the results of the proposed method, all of which showed that the proposed method could achieve the best results so far.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""Review only""]}",10.3389/fnins.2023.1136609,,,
rayyan-243088656,Drivers’ subjective perceptions of the contextual factors influencing fatigue: A qualitative study of suburban bus drivers in Iran,2022,8,11,Work,"10519815, 18759270",72,4,1481-1491,"Khanehshenas, Farin and Mazloumi, Adel and Jalaldehi, Pourya Ahmadi and Kaveh, Mahdieh",https://journals.sagepub.com/doi/full/10.3233/WOR-210755,en,,,"BACKGROUND: Drivers’ drowsiness is a signiﬁcant issue globally known as a contributing factor to crashes in various transportation operations. Although there is evidence that suburban bus drivers experience drowsy driving, most previous studies are quantitative, which means that drivers experiencing drowsiness have not had the opportunity to explain their direct views and thoughts.     OBJECTIVE: This qualitative exploratory study subjectively investigates the contextual factors inﬂuencing fatigue among suburban bus drivers.     METHODS: Collecting data was conducted through 14 in-depth interviews with suburban bus drivers working in Tehran province’s transportation system, Iran. The interview recording was transcribed by the research team and entered into the qualitative data analysis software. Two independent coders with qualitative content analysis and thematic analysis approach analyzed transcripts.     RESULTS: Four themes emerged, including human factors (with categories of individual characteristic and lifestyle), vehicle factors (with categories of design and performance), job factors (with categories of task requirement, quantity and quality of sleep, and circadian rhythm,) and environmental factors (with categories of the physical and economic environment). We found a more signiﬁcant number of codes and categories and thus more contextual factors associated with job factors. The participants emphasized the importance of sleep deprivation, long driving hours, and even time of the day as factors inﬂuencing fatigue.     CONCLUSIONS: The study results can provide beneﬁcial information for both ergonomists and car manufacturers in developing more accurate fatigue detection models and effective educational and technical interventions to maintain road user’s health and reduce road accidents and mortality rates due to drowsiness.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation""]}",10.3233/WOR-210755,,,
rayyan-243088657,Few-shot transfer learning for individualized braking intent detection on neuromorphic hardware,2025,2,1,Journal of Neural Engineering,"1741-2560, 1741-2552",22,1,16041,"Lutes, Nathan A and Sriram Siddhardh Nadendla, Venkata and Krishnamurthy, K",https://iopscience.iop.org/article/10.1088/1741-2552/adb079,en,,,"Objective. This work explores use of a few-shot transfer learning method to train and implement a convolutional spiking neural network (CSNN) on a BrainChip Akida AKD1000 neuromorphic system-on-chip for developing individual-level, instead of traditionally used group-level, models using electroencephalographic data. The efficacy of the method is studied on an advanced driver assist system related task of predicting braking intention. Approach. Data are collected from participants operating an NVIDIA JetBot on a testbed simulating urban streets for three different scenarios. Participants receive a braking indicator in the form of: (1) an audio countdown in a nominal baseline, stress-free environment; (2) an audio countdown in an environment with added elements of physical fatigue and active cognitive distraction; (3) a visual cue given through stoplights in a stress-free environment. These datasets are then used to develop individual-level models from group-level models using a few-shot transfer learning method, which involves: (1) creating a group-level model by training a CNN on group-level data followed by quantization and recouping any performance loss using quantization-aware retraining; (2) converting the CNN to be compatible with Akida AKD1000 processor; and (3) training the final decision layer on individual-level data subsets to create individual-customized models using an online Akida edge-learning algorithm. Main results. Efficacy of the above methodology to develop individual-specific braking intention predictive models by rapidly adapting the group-level model in as few as three training epochs while achieving at least 90% accuracy, true positive rate and true negative rate is presented. Further, results show the energy-efficiency of the neuromorphic hardware through a power reduction of over 97% with only a 1.3 × increase in latency when using the Akida AKD1000 processor for network inference compared to an Intel Xeon central processing unit. Similar results were obtained in a subsequent ablation study using a subset of five out of 19 channels. Significance. Especially relevant to real-time applications, this work presents an energy-efficient, few-shot transfer learning method that is implemented on a neuromorphic processor capable of training a CSNN as new data becomes available, operating conditions change, or to customize group-level models to yield personalized models unique to each individual.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population | USER-NOTES: {""AJAYI""=>[""breaking intention predictive model - not driver fatigue""]}",10.1088/1741-2552/adb079,,,
rayyan-243088658,Machine learning model for aberrant driving behaviour prediction using heart rate variability: a pilot study involving highway bus drivers,2023,10,2,International Journal of Occupational Safety and Ergonomics,"1080-3548, 2376-9130",29,4,1429-1439,"Tsai, Cheng-Yu and Majumdar, Arnab and Wang, Yija and Hsu, Wen-Hua and Kang, Jiunn-Horng and Lee, Kang-Yun and Tseng, Chien-Hua and Kuan, Yi-Chun and Lee, Hsin-Chien and Wu, Cheng-Jung and Houghton, Robert and Cheong, He-in and Manole, Iulia and Lin, Yin-Tzu and Li, Lok-Yee Joyce and Liu, Wen-Te",https://www.tandfonline.com/doi/full/10.1080/10803548.2022.2135281,en,,,"Objectives. Current approaches via physiological features detecting aberrant driving behaviour (ADB), including speeding, abrupt steering, hard braking and aggressive acceleration, are developing. This study proposes using machine learning approaches incorporating heart rate variability (HRV) parameters to predict ADB occurrence. Methods. Naturalistic driving data of 10 highway bus drivers in Taiwan from their daily routes were collected for 4 consecutive days. Their driving behaviours and physiological data during a driving task were determined using a navigation mobile application and heart rate watch. Participants’ self-reported data on sleep, driving-related experience, open-source data on weather and the traffic congestion level were obtained. Five machine learning models – logistic regression, random forest, naive Bayes, support vector machine and gated recurrent unit (GRU) – were employed to predict ADBs. Results. Most drivers with ADB had low sleep efficiency ( ≤ 80%), with significantly higher scores in driver behaviour questionnaire subcategories of lapses and errors and in the Karolinska sleepiness scale than those without ADBs. Moreover, HRV parameters were significantly different between baseline and pre-ADB event measurements. GRU had the highest accuracy (81.16–84.22%). Conclusions. Sleep deficit may be related to the increased fatigue level and ADB occurrence predicted from HRV-based models among bus drivers.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population | USER-NOTES: {""AJAYI""=>[""driving behavior - not driving fatigue""]}",10.1080/10803548.2022.2135281,,,
rayyan-243088659,"Driver fatigue detection using PPG signal, facial features, head postures with an LSTM model",2024,11,1,Heliyon,24058440,10,21,e39479,"Yu, Lu and Yang, Xinyi and Wei, Hengjian and Liu, Jianguo and Li, Bo",https://linkinghub.elsevier.com/retrieve/pii/S2405844024155107,en,,,"Background and objective: Background and objective: Human fatigue is a major cause of road traffic accidents. Currently widely used fatigue driving detection methods are based on eyelid closure, vehicle information or physiological parameter detection. However, the detection of each single feature has certain limitations. Which in turn affects the accuracy of detection and the possibility and efficiency of prediction.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""AJAYI""=>[""No empirical validation""]}",10.1016/j.heliyon.2024.e39479,,,
rayyan-243088660,Prediction of drowsiness using EEG signals in young Indonesian drivers,2023,9,,Heliyon,24058440,9,9,e19499,"Puspasari, Maya Arlini and Syaifullah, Danu Hadi and Iqbal, Billy Muhamad and Afranovka, Valda Aqila and Madani, Safa Talitha and Susetyo, Armand Khalif and Arista, Salsabila Annisa",https://linkinghub.elsevier.com/retrieve/pii/S2405844023067075,en,,,"Indonesia is among the countries with the highest accident rates in the world. Fatigue and drowsiness are among the main causes of the increased risks of accidents in the road transport sector. Sleep-related factors (quality and quantity, time of day) and work-related factors significantly affect the development of fatigue. The EEG signal indicator is often referred to as the gold standard for measuring fatigue and drowsiness. However, previous studies focused primarily on the trends of EEG signals under certain conditions but overlooking the development of drowsiness indicators based on EEG signals. Furthermore, existing studies still do not agree on what parameters in the EEG signal indicator are best at detecting drowsiness. Thus, this study aims to design an EEG signal-based drowsiness indicator under simulated driving conditions. Drowsy drivers were monitored through EEG signal indicators and subjective assessments. The methods used in this study include statistical significance tests, logistic regression, and support vector machine. The results showed that sleep deprivation had a significant effect on increasing alpha, beta, and theta waves. In addition, driving duration significantly increased the theta power and all EEG ratios and decreased the beta power in the alert group. The ratio of (θ + α)/β and θ/β in the SD group also showed a considerable increase in the end of driving. Furthermore, sleep status and driving duration both influenced subjective sleepiness. EEG signals combined with sleep status and driving duration factors generated acceptable model accuracies (77.1% and 90.2% in training and testing, respectively), with 90.5% sensitivity and 90% specificity in data test. Support vector machine showed better classification than that of logistics regression, with the linear kernel as the best classifier. Theta power had the highest effect in the model compared with other EEG signals.","RAYYAN-INCLUSION: {""AJAYI""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population | USER-NOTES: {""AJAYI""=>[""sleepiness - not fatigue""]}",10.1016/j.heliyon.2023.e19499,,,
